human_r1	human_r2	mouse_r1	mouse_r2	cattle_r1	cattle_r2	pig_r1	pig_r2	opossum_r1	opossum_r2
ENSG00000013374:NUB1	44.62	55.13	87.3	60.32	25.92	25.61	4.7	8.85	71.91	29.09
ENSG00000013375:PGM3	21.15	22.77	12.27	15.92	13.81	14.04	3.54	5.5	118.34	61.34
ENSG00000013392:RWDD2A	1.59	2.41	2.12	5.09	2.4	1.79	0.33	0.36	5.05	0.68
ENSG00000013441:CLK1	133.6	192.58	140.87	122.57	99.57	151.12	24.9	35.92	182.85	170.59
ENSG00000013503:POLR3B	9.74	10.38	10.35	6.44	5.48	4.71	1.92	3.5	2.65	1.97
ENSG00000013523:ANGEL1	12.71	15.65	4.43	5.76	5.9	3.98	0.42	1.01	2.64	6.59
ENSG00000013561:RNF14	30.61	34.59	111.64	73.01	16.39	15.9	4.84	8.17	20	3.46
ENSG00000013563:DNASE1L1	12.98	14.95	50.55	57.32	40.18	30.45	4.51	9.81	9.49	27.77
ENSG00000013573:DDX11	19.05	31.5	0.99	1.2	3.25	4.47	0.78	3.35	1.07	1
ENSG00000013588:GPRC5A	0.56	4.28	68.51	49.77	1.72	1.49	3.18	5.68	28.02	27.82
ENSG00000013619:MAMLD1	0.89	1.17	1.8	1.51	0.05	0.07	0.09	0.29	11.64	4.38
ENSG00000013725:CD6	0.59	0.53	1.14	0.76	0.29	0.32	0.01	0	0.03	0.03
ENSG00000013810:TACC3	7.85	8.62	6.72	5.47	24.86	23.59	0.32	0.81	6.39	3.23
ENSG00000014123:UFL1	26.11	27.32	21.04	13.9	15.37	15.92	3.18	5.33	16.09	10.79
ENSG00000014138:POLA2	8.21	9.5	9.21	6.69	14.68	11.7	1.49	3.29	4.84	7.9
ENSG00000014164:ZC3H3	7.56	10.97	11.47	9.03	9.05	8	0.6	2.12	5.63	2.22
ENSG00000014216:CAPN1	64.02	84.76	28.72	30.16	74.42	57.28	14.11	38.3	34.43	16.36
ENSG00000014257:ACP3	14.83	13	10.76	1.14	25.67	17.14	4.44	7.89	39.79	19.6
ENSG00000014641:MDH1	45.99	49.53	85.84	102.08	217.6	227.44	36.48	65.12	443.91	801.82
ENSG00000014824:SLC30A9	31.97	38.45	58.91	48.89	46.21	44.62	7.18	11.41	9.04	2.52
ENSG00000014914:MTMR11	23.14	24.1	8.99	19.63	4.36	4.13	0.15	0.45	0.65	0.91
ENSG00000014919:COX15	12.91	16.47	14.44	9.9	12.31	11.41	1.33	2.25	5.83	5.28
ENSG00000015133:CCDC88C	2.01	2.77	1.83	2.61	2.54	1.53	0.42	1.16	8.41	8.12
ENSG00000015171:ZMYND11	32.7	40.29	44.27	33.89	47.15	38.51	6.5	12.58	84.27	10.42
ENSG00000015285:WAS	3.31	11.03	4.53	4.31	5.94	4.13	0.32	0.7	0.43	1.22
ENSG00000015413:DPEP1	0.14	0.04	2.22	12.01	0.05	0	0	0.05	30.05	44.41
ENSG00000015475:BID	2.56	4.41	13.21	28.2	27.79	30.63	4.39	8.02	35.35	16.1
ENSG00000015479:MATR3	138.56	154.35	95.84	73.01	182.86	170.62	18.3	30.43	183.47	70.22
ENSG00000015520:NPC1L1	0.07	0	0.71	1.12	0.01	0.01	0	0	3.87	3.78
ENSG00000015532:XYLT2	5.93	9.03	8.73	7.85	12.19	9.59	0.83	2.41	2.05	3.13
ENSG00000015592:STMN4	0	0	10.75	4.34	0	0	0	0.04	0.13	0.09
ENSG00000015676:NUDCD3	23.71	24.96	33.89	25.66	50.32	46.15	2.08	6.06	64.54	21.94
ENSG00000016082:ISL1	4.74	7.25	0.13	0	0	0.06	0	0	0.03	0
ENSG00000016391:CHDH	0.54	0.68	16.8	19.6	7.24	5.82	0.12	0.25	13.85	24.69
ENSG00000016402:IL20RA	1.63	0.86	0	0	6.1	4.16	1.59	3.78	2.03	0.13
ENSG00000016864:GLT8D1	52.51	61.18	62.92	52.59	24.21	24.52	2.87	6.64	10.56	9.73
ENSG00000017260:ATP2C1	37.78	54.8	94.38	74.76	56.52	48.63	14.24	24.86	42.74	22.89
ENSG00000017427:IGF1	12.63	20.84	1.96	1.03	11.58	6.53	0.53	0.71	16.09	27.55
ENSG00000017483:SLC38A5	0.77	0.34	0.84	0.4	0.28	0.18	0.2	0.33	0.35	1.25
ENSG00000017797:RALBP1	22.76	31.18	136.96	81.23	128.21	148.24	8.48	17.13	73.4	3.68
ENSG00000018189:RUFY3	18.52	27.6	34.07	30.85	137.61	96.6	5.4	10.06	47.92	4.38
ENSG00000018236:CNTN1	0.32	0.24	0.37	0.31	0	0	0	0.07	0.89	0.14
ENSG00000018280:SLC11A1	7.25	11	2.31	5.95	7.3	2.73	0.18	0.16	1.03	1.43
ENSG00000018408:WWTR1	48.14	54.22	57.29	40.3	107.46	96.79	8.08	17.74	14.98	4.23
ENSG00000018510:AGPS	12.08	10.7	36.39	15.84	38.13	35.31	4.44	8.13	16.99	6.05
ENSG00000018610:STEEP1	27.34	32.39	18.05	13.23	17.43	12.56	4.53	11.12	70	113.72
ENSG00000018625:ATP1A2	3.06	3.12	1.68	1.21	0.07	0.01	0.2	1.08	1.61	1.06
ENSG00000018699:TTC27	6.52	7.26	4.84	4.53	12.9	12.24	1.36	2.28	5.95	6.95
ENSG00000019102:VSIG2	5.98	7.38	15.67	12.44	0.57	0.42	0	0.08	1.05	4.13
ENSG00000019144:PHLDB1	28.62	50.23	64.66	51.61	30.52	30.76	3.04	8.24	29.8	18.63
ENSG00000019169:MARCO	0.8	0.87	0.15	0	0.16	0.03	5.61	0.91	3.62	8.65
ENSG00000019186:CYP24A1	0.66	3.02	0.05	12.12	7.7	2.35	0.05	0.12	5.19	0.78
ENSG00000019485:PRDM11	1.94	2.93	4.42	3.27	4.5	3.79	0.37	1.2	1.2	0.32
ENSG00000019505:SYT13	0.01	0.02	5.97	2.28	0.04	0.14	0	0	0.07	0
ENSG00000019549:SNAI2	5.71	10.39	3.11	2.12	37.96	31.13	1.66	8.38	12.34	10.61
ENSG00000019582:CD74	66.45	492.43	14.26	10.77	282.24	68.95	9.41	37.9	12.93	14.15
ENSG00000019991:HGF	88.27	111.02	1.41	0.55	2.4	1.13	2.73	6.46	0.58	0.45
ENSG00000019995:ZRANB1	15.54	15.75	28.94	22.77	26.12	15.96	3.91	6.99	12.94	5.18
ENSG00000020129:NCDN	5.09	6.21	12.76	9.16	20.8	12.12	0.7	2.66	14.69	18.68
ENSG00000020181:ADGRA2	21.5	34.17	16.63	17.68	14.19	13.77	3.28	9.25	9.86	12.74
ENSG00000020256:ZFP64	2.49	3.56	23.1	19.46	13.16	14.03	0.4	0.66	1.31	0.82
ENSG00000020426:MNAT1	19.25	20.81	12.43	10.66	39.52	31.88	1.15	2.03	32.16	15.51
ENSG00000020577:SAMD4A	4.77	10.51	9.8	6.78	9.93	5.37	1.87	2.94	2.5	0.48
ENSG00000020922:MRE11	11.28	14.74	9.97	6.98	17.13	17.56	1.99	4.78	9.03	2.33
ENSG00000021300:PLEKHB1	0.69	0.95	0.2	0.63	59	63.4	0.11	0.22	0.16	0
ENSG00000021488:SLC7A9	0.05	0.06	1.36	51.54	0	0	0.4	0.65	12.38	8.95
ENSG00000021574:SPAST	9.25	9.78	22.25	14.86	9.63	9.16	2.23	3.49	22.85	4.77
ENSG00000021645:NRXN3	2.58	3.01	0.2	0.88	0	0.03	0.03	0.05	0.07	0.13
ENSG00000021762:OSBPL5	4.68	10.11	43.77	41.3	35.45	16.03	0.59	1.97	18.71	20.2
ENSG00000021776:AQR	18.35	28.09	19.13	11.2	11.63	10.9	3.51	5.94	14.98	8.03
ENSG00000021826:CPS1	6.42	5.32	0.05	0.15	0	0	0.05	0.03	54.69	64.53
ENSG00000021852:C8B	0	0	0	1.16	0.07	0.07	0.04	0.03	0	0
ENSG00000022277:RTF2	59.24	70.11	70.78	62.11	34.32	31.67	6.5	12.73	59.41	56.11
ENSG00000022355:GABRA1	0	0	0.1	0	3.86	2.87	0.01	0	0	0
ENSG00000022567:SLC45A4	72.2	25.69	127.7	54.89	11.18	10.21	1.3	5.42	20.57	5.64
ENSG00000022840:RNF10	84.2	119.76	117.4	97.62	129.4	123.89	7.23	21.07	183.21	87.04
ENSG00000023041:ZDHHC6	24.89	37.75	29.81	22.72	37.99	33.63	6.48	10.07	22.91	19.93
ENSG00000023171:GRAMD1B	19.85	24.46	43.67	59.31	36.36	34.62	0.77	2.05	1.21	0.72
ENSG00000023191:RNH1	57.15	65.74	124.54	135.96	173.26	150.22	9.9	19.99	14.73	51.28
ENSG00000023228:NDUFS1	37.69	31.61	46.14	35.77	33.17	35.63	9.41	13.36	109.49	62.29
ENSG00000023287:RB1CC1	15.66	20.42	64.99	55.4	44.07	37.67	11.74	26.98	483.63	63.34
ENSG00000023318:ERP44	38.46	31.71	77.91	95.74	119.5	111.56	10.93	18.4	66.45	53.98
ENSG00000023516:AKAP11	7	9.09	14.2	10.22	44.65	40.52	1.71	4.29	7.18	0.48
ENSG00000023608:SNAPC1	1.87	2.49	18.6	23.24	16.6	11.88	0.95	2.03	11.69	5.09
ENSG00000023697:DERA	16.1	20.39	24.64	27.45	20.66	40.86	3.17	5.06	53.46	37.49
ENSG00000023734:STRAP	51.17	52.55	64.48	56.07	57.44	53.74	13.02	23.93	167.75	140.69
ENSG00000023839:ABCC2	2.66	2.18	0.4	8.85	9.73	19.24	5.24	10.82	31.4	37.61
ENSG00000023892:DEF6	7.05	15.51	2.45	2.58	3.96	4.12	0.5	1.31	4.65	7.33
ENSG00000023902:PLEKHO1	4.87	14.95	133.73	117.87	59.1	65.5	4.31	10.47	19.21	44.3
ENSG00000024048:UBR2	12.05	15.62	39.72	19.86	9.78	8.44	5.52	10.22	20.38	8.89
ENSG00000024526:DEPDC1	3.7	3.07	0.24	0.37	3.12	2.61	0.13	0.17	0.99	0.67
ENSG00000024862:CCDC28A	22.54	22.42	14.51	13.2	9.19	8.58	0.6	0.8	4.64	19.92
ENSG00000025039:RRAGD	4.42	4.47	9.08	12.09	10.22	11.84	0.25	0.51	5.27	11.32
ENSG00000025156:HSF2	7.16	7.96	15.83	11.33	10.06	9.43	2.02	4.77	6.7	4.78
ENSG00000025293:PHF20	9.24	14.22	15.89	12.69	22.42	16.93	2.42	3.86	11.65	1.38
ENSG00000025434:NR1H3	26.83	43.7	7.94	16.17	25.84	23.54	5.44	12.31	4.7	7.78
ENSG00000025772:TOMM34	22.26	26.49	24.21	22.3	11.94	16.17	2.06	3.05	27.53	31.07
ENSG00000025800:KPNA6	30.13	30.25	40.69	27.9	31.55	25.71	3.87	8.66	19.75	6.8
ENSG00000026025:VIM	386.38	579.09	346.73	322.13	397.04	574.55	61.13	117.68	760.06	665.17
ENSG00000026508:CD44	64.61	73.74	24.64	14.47	27.09	33.2	4.35	7.59	2.65	5.18
ENSG00000026559:KCNG1	15.93	17.69	0.7	0.41	11.47	30.57	0.2	0.45	0.18	0.36
ENSG00000026652:AGPAT4	1.46	3.83	35.52	25.24	1.79	0.85	0.95	2.23	16.06	4
ENSG00000026751:SLAMF7	0.38	0.48	1.13	0.44	4.91	3.91	0.2	0.34	0.06	0.16
ENSG00000027001:MIPEP	3.18	4.95	5.32	5.14	11.5	12.09	1.75	4.46	5.84	7.14
ENSG00000027075:PRKCH	33.46	37.16	47.42	24.96	26.98	20.74	7.17	13.22	20.45	13.76
ENSG00000027644:INSRR	0.01	0.01	0.04	0	7.11	9.81	0.18	0.53	0.4	0.19
ENSG00000027697:IFNGR1	85.55	90.51	42	58.43	85.17	89.68	1.82	3.61	18.5	19.27
ENSG00000027847:B4GALT7	13.36	15.32	29.9	20.89	15.54	12.92	1.62	4.58	3.68	7.89
ENSG00000027869:SH2D2A	0.07	0.3	0.34	0.18	0.59	0.06	0.29	0.56	20.43	1.51
ENSG00000028116:VRK2	10.57	10.34	7.81	6.96	7.3	5.34	1.92	3.02	7.03	8.33
ENSG00000028203:VEZT	71.59	81.86	30.1	14.11	20.82	25.46	3.41	4.57	37.03	19.73
ENSG00000028310:BRD9	11.38	16.45	27.17	21.24	38.2	38.92	3.51	9.34	38.17	17.53
ENSG00000028528:SNX1	45.77	48.01	108.43	126.36	156.96	174.58	21.23	41.41	85.95	78.89
ENSG00000028839:TBPL1	25.96	18.87	41.04	32.72	21.87	18.98	1.32	2.2	13.68	14.77
ENSG00000029364:SLC39A9	25.38	25.94	28.46	20.72	29.56	26.12	6.88	11.91	113.64	20.91
ENSG00000029534:ANK1	0.95	1.27	2.06	1.12	3.09	1.7	0.01	0.01	2.35	2.33
ENSG00000029559:IBSP	1.57	0.34	0	0	3.59	13.67	0.07	0.16	0.14	0
ENSG00000029639:TFB1M	2.9	5.19	5.96	6.32	7.79	9.5	1.82	3.73	4.74	4.95
ENSG00000029725:RABEP1	26.01	36.37	21.41	21.51	21.53	19.02	4.53	8.82	17.94	3.65
ENSG00000030066:NUP160	31.82	28.95	11.48	10.79	14.34	9.32	1.36	2.77	9.17	6.8
ENSG00000030110:BAK1	6.21	7.85	36.25	24.6	69.79	46.34	1.9	3.84	5.5	8.41
ENSG00000030304:MUSK	0.34	0.23	0.48	0.47	0.05	0.03	0.01	0.01	0.58	0.2
ENSG00000030419:IKZF2	6.15	6.54	1.23	0.35	0.28	0.44	1.61	2.6	1.6	0.93
ENSG00000030582:GRN	492.78	467.13	336.72	317.05	347.44	274.84	1084.31	2584.83	109.55	313.1
ENSG00000031003:FAM13B	16.21	20.8	56.64	31.53	19	9.57	3.64	6.57	10.13	1.83
ENSG00000031081:ARHGAP31	5.89	8.34	37.54	19.21	13.33	13.63	2.08	5.48	7.78	1.16
ENSG00000031691:CENPQ	2.63	2.28	1.43	1.73	6.25	5.36	0.8	0.93	9.63	2.54
ENSG00000031698:SARS1	78.13	80.39	82.78	80.23	117.63	99.98	12.09	24.19	50.27	59.76
ENSG00000031823:RANBP3	33.19	42.28	49.24	41.93	58.67	55.25	2.35	7.37	19.93	4.61
ENSG00000032219:ARID4A	12.45	17	12.02	7.27	18.33	18.06	2.63	5.07	65.19	2.7
ENSG00000032389:EIPR1	5.36	4.74	19.58	16.88	26.46	23.85	2.62	6.06	6.16	16.26
ENSG00000032444:PNPLA6	17.06	34.55	54.93	41.21	12.87	14.49	1.6	5.89	29.14	82.57
ENSG00000032742:IFT88	3.03	5.36	9.13	7.15	3.39	3.42	0.68	1.86	6.73	6.15
ENSG00000033030:ZCCHC8	17.85	25.08	25.27	21.17	21.6	21.84	2.09	4.3	13.92	24.31
ENSG00000033050:ABCF2	5.09	5.8	34.08	28.73	33.65	28.6	1.86	5.11	36.02	42.64
ENSG00000033100:CHPF2	16.73	16.43	58.41	38.75	23.13	17.05	1.88	4.56	10.51	30.9
ENSG00000033122:LRRC7	0.41	0.88	0.02	0	0	0	0	0	1.97	1.01
ENSG00000033170:FUT8	42.4	64.36	87.54	55.45	18.46	10.63	2.05	3.59	19.96	8.14
ENSG00000033178:UBA6	26.05	24.84	32.59	10.73	11.3	10.38	2.76	4.04	10.99	5.38
ENSG00000033327:GAB2	27.41	29.36	48.13	19.97	13.82	8.41	2.17	8.66	7.93	1.89
ENSG00000033627:ATP6V0A1	76.99	85.52	66.39	88.55	40.8	31.73	2.39	5.01	27.5	22.88
ENSG00000033800:PIAS1	18.23	29.1	23.6	14.4	12.38	11.65	2.67	4.1	9.2	5.85
ENSG00000033867:SLC4A7	2.91	5.22	5.55	3.66	8.82	4.33	4.35	6.17	31.06	3.15
ENSG00000034053:APBA2	0.6	0.48	0.37	0	0	0	0.02	0.02	0.14	0
ENSG00000034152:MAP2K3	16	31.27	81.81	58.53	49.44	35.89	5.22	18.63	155.96	25.76
ENSG00000034239:CLXN	0.07	0.37	0.1	0.14	0	0	0.04	0.11	2.53	0.79
ENSG00000034533:ASTE1	4.13	8.23	7.17	6.54	6.48	3.94	0.72	1.65	3.67	9.2
ENSG00000034693:PEX3	17.16	22.92	24.81	16.78	9.46	8.59	1.61	2.04	17.01	7.27
ENSG00000034713:GABARAPL2	85.73	88.01	166.65	138.7	478.1	368.59	28.35	41.43	192.13	185.49
ENSG00000034971:MYOC	0.07	0.12	0.16	0	0.04	0	0.01	0	0.03	0.05
ENSG00000035115:SH3YL1	34.34	39.98	3.83	12.08	156.46	166.66	6.06	9.17	27.85	15.22
ENSG00000035403:VCL	36.09	54.16	132.74	74.85	105.23	66.12	17.78	45.65	197.87	34.27
ENSG00000035499:DEPDC1B	123.76	76.9	0.11	0.29	7.83	5.71	0.25	0.26	0.25	0.05
ENSG00000035664:DAPK2	0.7	2.75	69.07	27.64	12.21	10.43	0.58	1.2	1.23	0.23
ENSG00000035681:NSMAF	22.06	23.63	30.3	20.71	4.88	6.04	1.3	3.23	15.73	8.15
ENSG00000035687:ADSS2	27.73	33.03	44.61	34.84	82.53	55.43	3.32	5.53	0.46	0
ENSG00000035720:STAP1	0.12	0.06	0.95	0.19	1.8	1.79	1.8	2.66	2.89	2.43
ENSG00000035928:RFC1	23.64	30.43	12.43	11.45	21.01	20.54	2.1	3.71	19.53	3.22
ENSG00000036054:TBC1D23	23.77	25.74	30.62	17.26	44.65	37.96	7.44	10.44	13.41	7.1
ENSG00000036257:CUL3	62.61	65.63	92.28	74.14	93.21	62.21	4.37	9.41	115.52	33.85
ENSG00000036448:MYOM2	1.14	0.84	0.88	0.31	0	0.03	1.05	1.3	0.07	0.03
ENSG00000036473:OTC	0.07	0	0.1	0.34	0	0	0	0.02	37.78	60.68
ENSG00000036565:SLC18A1	0	0	3.43	20.24	0.41	0.74	0.19	0.34	0.18	0.05
ENSG00000036672:USP2	0.19	0.48	18.79	18.1	176.38	54.89	1.64	2.77	3.07	2.11
ENSG00000036828:CASR	0.8	0.94	0.05	0	0.03	0.01	1.31	2.55	0.19	0.03
ENSG00000037280:FLT4	101.73	65.23	19.97	10.36	0.26	0.59	0.22	0.97	4	3.13
ENSG00000037474:NSUN2	27.07	56.18	52.64	40.99	39.35	30.03	3.04	7.16	5.91	1.74
ENSG00000037637:FBXO42	12.68	15.86	13.65	10.51	16.67	17.19	1.19	3.07	5.19	8.05
ENSG00000037749:MFAP3	18.25	21.59	45.79	33.83	17.71	18.28	4.03	7.66	12.93	1.72
ENSG00000037757:MRI1	27.97	49.39	14.7	15.1	35.23	42.61	0.81	2.51	9.48	21.64
ENSG00000037897:METTL1	9.36	7.16	11.47	7.61	6.7	6.76	1.55	2.27	4	25.23
ENSG00000038002:AGA	13.23	15.84	27.34	45.18	28.51	20.62	3.29	5.21	10.63	11.89
ENSG00000038219:BOD1L1	20.56	30.21	18.84	8.42	26.22	23.16	1.83	5.21	35.7	1.46
ENSG00000038295:TLL1	5.96	6.14	0.3	0.28	0.15	0.13	0.12	0.39	0.68	0.15
ENSG00000038358:EDC4	24.39	35.17	34.32	22.34	18.57	17.42	1.93	5.66	21.79	21.38
ENSG00000038427:VCAN	24.53	62.14	12.18	11.43	6.8	7.53	24.81	56.25	8.93	1.75
ENSG00000038532:CLEC16A	7.59	10.8	14.34	7.86	5.76	4.2	0.96	3.23	8.16	1.13
ENSG00000038945:MSR1	3.75	9.32	1.62	2.85	45.54	22.01	2.38	4.05	1.39	1.75
ENSG00000039068:CDH1	67.97	82.29	53.22	95.36	325.95	340.57	35.2	58.45	107.22	58.62
ENSG00000039123:MTREX	29.98	33.02	26.05	25.46	26.44	23.18	6.5	10.74	24.32	16.02
ENSG00000039139:DNAH5	0	0.06	0.02	0	0.05	0.06	0	0.05	1.22	0.08
ENSG00000039523:RIPOR1	17.63	33.01	67.62	39.01	32.41	37.98	1.57	4.92	35.36	29.04
ENSG00000039537:C6	0.05	0.23	0.13	15.27	0.05	0	0.01	0.01	0.65	0.27
ENSG00000039560:RAI14	110.23	83.78	46.06	27.19	26.09	16.69	3.75	10.59	33.56	2.13
ENSG00000039600:SOX30	0.14	0.11	0.46	0.1	0	0	0	0	0	0.08
ENSG00000039650:PNKP	35.19	45.32	18.86	23.17	42.67	40.59	5.56	17.46	14.85	57.92
ENSG00000039987:BEST2	0.03	0.11	0.05	0	27.54	9.74	0.04	0.17	3.38	4.81
ENSG00000040199:PHLPP2	1.89	3.2	31.27	13.76	20.6	20.19	2.34	5.75	2.09	0.52
ENSG00000040275:SPDL1	8.2	7.73	1.03	1.02	3.76	2.83	0.18	0.22	6.94	2.3
ENSG00000040341:STAU2	11.09	19.34	13.32	10.05	69.24	74.55	4.7	9.59	24.74	16.9
ENSG00000040487:SLC66A1	14.89	16.03	13.82	23.46	99.88	119.62	2.75	6.69	18.43	20.01
ENSG00000040633:PHF23	27.48	27.45	66.99	52.45	38.25	40.56	8.09	16.08	18.95	24.05
ENSG00000040731:CDH10	0.01	0	0.01	0.4	0.05	0	0	0	0.02	0
ENSG00000040933:INPP4A	5.89	8.48	12.98	7.99	17.34	19.12	1.38	3.69	12.26	1.48
ENSG00000041353:RAB27B	0.98	1.57	5.14	4.33	0.82	0.92	0.27	0.68	6.84	1.04
ENSG00000041357:PSMA4	124.32	148.67	91.97	100.73	98.14	88.27	7.92	12.45	142.53	146.32
ENSG00000041515:MYO16	0.15	0.18	0.53	1	0.18	0.1	0	0	0.05	0.06
ENSG00000041802:LSG1	31.26	30.67	19.93	18.61	27.31	24.54	2.69	3.77	12.31	18.9
ENSG00000041880:PARP3	3.67	5.47	6.59	10.78	4.77	3.54	1.54	2.38	16.4	61.38
ENSG00000041982:TNC	0.74	0.83	4.9	7.53	188.66	92.73	0.48	0.78	12.22	4.75
ENSG00000041988:THAP3	7.85	11.68	19.44	18.77	39.56	37.81	0.83	2.41	3.59	8.21
ENSG00000042062:RIPOR3	1.6	1.72	9.73	10.29	54.39	54.38	0.04	0.13	5.68	4.07
ENSG00000042088:TDP1	6.07	7.25	10.15	11.02	3.9	4.37	0.4	1.09	5.32	7.89
ENSG00000042286:AIFM2	3.47	5.26	15.15	18.72	16.22	11.51	2.15	5.62	15.26	44.26
ENSG00000042317:SPATA7	6.28	10.62	3.8	3.6	4.75	4.27	0.5	0.73	1.13	1.92
ENSG00000042429:MED17	14.53	18.61	27.55	22.69	23.56	17.42	1.73	3.32	5.15	7.37
ENSG00000042493:CAPG	6.11	11.59	117.96	110.2	60.91	50.7	7.31	7.49	22.63	17.85
ENSG00000042753:AP2S1	35	32.79	147.77	200.93	263.23	218.49	11.41	25.86	98.66	270.24
ENSG00000042781:USH2A	0.04	0.26	0.26	0.03	0	0.02	0	0	0.02	0
ENSG00000042813:ZPBP	0	0	0.19	0.08	0	0.14	0.09	0.09	0	0
ENSG00000042832:TG	0.32	0.79	0.24	0.47	0.06	0.06	0.01	0.14	0.37	0.28
ENSG00000042980:ADAM28	0.42	4.02	0.09	0.05	0.8	0.15	29.86	49.71	56.86	2.73
ENSG00000043039:BARX2	2.1	3.12	1.63	0.53	1.57	0	0.01	0.01	0.96	1.15
ENSG00000043143:JADE2	4.25	8.4	2.26	2.07	9.9	12.66	1.08	1.75	3.71	1.07
ENSG00000043355:ZIC2	0	0	0.23	0.07	0	0	0	0.02	0.03	0.06
ENSG00000043462:LCP2	8.87	24.4	1.31	0.91	6.98	5.75	0.63	1.24	0.84	1.06
ENSG00000043514:TRIT1	11.94	17.6	9.36	8.53	22.89	15.38	2.48	4.57	2.78	1.12
ENSG00000043591:ADRB1	37.98	59.5	19.73	13.87	9.09	9.26	3.2	11.86	1.15	0.88
ENSG00000044012:GUCA2B	0.3	0.24	9.48	31.83	0	0	0	0	8.6	22.97
ENSG00000044446:PHKA2	28.24	38.99	10.85	8.97	2.96	2.33	0.26	0.42	11.12	9.65
ENSG00000044459:CNTLN	1.45	3.35	2.77	2.47	1.95	1.34	0.44	0.85	0.79	0.12
ENSG00000044524:EPHA3	7.76	13.04	0.35	0.36	0.09	0	0.01	0.04	6.87	0.75
ENSG00000044574:HSPA5	253.39	203.86	1232.32	1292.82	327.22	426.45	181.43	448.48	1138.77	279.61
ENSG00000046604:DSG2	38.02	28.12	89.25	41.09	18.59	22.83	9.43	11.19	16.37	1.22
ENSG00000046647:GEMIN8	5.52	4.73	2.51	1.59	18.73	19.38	0.61	1.22	11.57	6.77
ENSG00000046653:GPM6B	1.71	2.7	6.89	6.22	4.34	2.86	0	0	2.53	0.47
ENSG00000046889:PREX2	4.25	8.68	12.57	8.19	5.39	4.9	3.91	9.47	1.86	0.06
ENSG00000047056:WDR37	9.42	12.67	15.65	11.73	24.22	21	5.26	14.34	4.15	0.59
ENSG00000047188:YTHDC2	9.33	12.88	2.87	2.35	9.03	9.39	2.59	4.68	5.22	4.18
ENSG00000047230:CTPS2	4.56	7.39	45.77	41.44	19.58	13.59	1.5	3.04	25.33	43.84
ENSG00000047249:ATP6V1H	18.99	24.27	63.64	56.17	128.71	134.91	10.39	20.28	80.27	41.94
ENSG00000047315:POLR2B	47.63	55.09	29.85	20.09	59.7	52.15	5.66	10.08	34.83	19.32
ENSG00000047346:ATOSA	35.35	32.68	50.58	25.69	9.65	11.67	2.09	4.24	87.78	8.59
ENSG00000047365:ARAP2	6.89	4.24	16.55	18.84	3.33	1.41	2.37	3.44	3.57	0.69
ENSG00000047410:TPR	41.38	53.98	98.19	81.07	43.51	39.13	8.82	16.45	92.05	22.18
ENSG00000047457:CP	5.58	1.6	16.92	16.83	9.97	10.45	0.19	0.28	0.16	0.91
ENSG00000047578:KATNIP	8.02	9.66	12.69	8.57	5.39	3.49	0.25	0.79	9.39	8.82
ENSG00000047579:DTNBP1	12.79	16.84	29.38	31.68	36.64	39.92	1.99	3.84	45.73	23.43
ENSG00000047597:XK	0.69	0.63	2.76	2.9	11.95	13.84	0.17	0.28	2.12	0.4
ENSG00000047617:ANO2	34.52	27.14	1.97	2.4	0.34	0.27	5.32	37.06	0.44	0.26
ENSG00000047621:FERRY3	11.7	14.78	10.42	11.62	13.45	9.51	1.2	2	16.79	5.12
ENSG00000047648:ARHGAP6	2.27	4.79	3.9	2.54	1.16	0.96	0.99	3.01	5.98	2.14
ENSG00000047662:FAM184B	0.01	0	0.06	0	0.45	0.38	0.01	0.02	0.05	0.12
ENSG00000047932:GOPC	16.74	22.74	14.95	12.33	17.43	14.83	3.73	7.21	36.06	2
ENSG00000048028:USP28	5.81	6.7	6.65	4.13	10.85	10.54	1.08	2.34	4.92	3.25
ENSG00000048052:HDAC9	3.22	4.81	2.45	1.02	0.11	0.1	0.66	0.98	0.31	0.16
ENSG00000048140:TSPAN17	5.78	8.8	13.07	14.41	34.39	25.79	4.11	9	9.8	22.14
ENSG00000048162:NOP16	8.94	10.5	17.39	12.38	75.62	49.63	4.45	9.3	75.85	75.85
ENSG00000048342:CC2D2A	7.78	17.99	1.7	2.13	0.88	0.54	0.36	1.44	1.34	2.76
ENSG00000048392:RRM2B	12.73	14.4	8.29	5.18	5.66	2.77	0.9	1.46	2.43	2.24
ENSG00000048405:ZNF800	16.6	22.86	10.34	5.69	14.53	13.98	2.94	4.84	9.6	3.71
ENSG00000048462:TNFRSF17	0.09	0.47	0	0	0.3	0.17	0.21	0.4	0	0
ENSG00000048471:SNX29	4.41	10.05	7.34	5.46	4.37	3.72	1.19	5.69	7.16	0.54
ENSG00000048540:LMO3	0.1	0.2	0	0	0	0	0.09	0.07	1.6	4.88
ENSG00000048544:MRPS10	20.07	24.4	19.81	22.45	131.4	110.38	7.84	12.04	56.56	27.85
ENSG00000048545:GUCA1A	0	0	0.49	0.83	0.21	0.42	0.02	0.03	0	0
ENSG00000048649:RSF1	21.08	29.95	13.9	12.46	17.02	16.04	2.32	4.09	26.42	3.66
ENSG00000048707:VPS13D	15.02	24.68	43.47	37.62	5.63	5.16	2.2	6.54	3.43	0.86
ENSG00000048828:FAM120A	60.42	66.37	132.33	75.37	35.42	35.22	5	12.82	59.3	17.1
